date,sentiment
9/29/04,0.167410657
9/30/04,0.173787609
10/1/04,0.167043999
10/2/04,0.161869302
10/3/04,0.165403888
10/4/04,0.151326254
10/5/04,0.141505674
10/6/04,0.142749861
10/7/04,0.139209285
10/8/04,0.134768307
10/9/04,0.127270982
10/10/04,0.145722315
10/11/04,0.157893851
10/12/04,0.161010593
10/13/04,0.166029885
10/14/04,0.170334265
10/15/04,0.15547736
10/16/04,0.155332834
10/17/04,0.168310449
10/18/04,0.171945482
10/19/04,0.178065881
10/20/04,0.17329666
10/21/04,0.176543996
10/22/04,0.175009042
10/23/04,0.174911603
10/24/04,0.18096897
10/25/04,0.184006616
10/26/04,0.173567429
10/27/04,0.171345159
10/28/04,0.167865217
10/29/04,0.16492337
10/30/04,0.189883947
10/31/04,0.204007894
11/1/04,0.197305262
11/2/04,0.202747688
11/3/04,0.209447876
11/4/04,0.216961548
11/5/04,0.23880218
11/6/04,0.2363462
11/7/04,0.242869988
11/8/04,0.2535173
11/9/04,0.232114613
11/10/04,0.222616434
11/11/04,0.229574293
11/12/04,0.225389853
11/13/04,0.230789244
11/14/04,0.228785872
11/15/04,0.229968593
11/16/04,0.217831627
11/17/04,0.215459973
11/18/04,0.215950072
11/19/04,0.197566733
11/20/04,0.198518321
11/21/04,0.193775073
11/22/04,0.198271945
11/23/04,0.190498278
11/24/04,0.192223743
11/25/04,0.188439205
11/26/04,0.195777223
11/27/04,0.191368163
11/28/04,0.191825032
11/29/04,0.207548082
11/30/04,0.232903361
12/1/04,0.235781699
12/2/04,0.232144088
12/3/04,0.241248578
12/4/04,0.243596584
12/5/04,0.241196379
12/6/04,0.263810992
12/7/04,0.269654006
12/8/04,0.272008508
12/9/04,0.266840994
12/10/04,0.254833966
12/11/04,0.281266361
12/12/04,0.266219348
12/13/04,0.274253845
12/14/04,0.287564009
12/15/04,0.283052295
12/16/04,0.278280079
12/17/04,0.278969049
12/18/04,0.269153446
12/19/04,0.279058188
12/20/04,0.284281313
12/21/04,0.28422603
12/22/04,0.286447138
12/23/04,0.294801295
12/24/04,0.298365563
12/25/04,0.308018357
12/26/04,0.309795082
12/27/04,0.30075112
12/28/04,0.319098145
12/29/04,0.334158868
12/30/04,0.342452466
12/31/04,0.34436512
1/1/05,0.36620006
1/2/05,0.371471405
1/3/05,0.370738
1/4/05,0.368651241
1/5/05,0.375982314
1/6/05,0.368606716
1/7/05,0.375638753
1/8/05,0.379633278
1/9/05,0.374059439
1/10/05,0.368093848
1/11/05,0.361226827
1/12/05,0.357498735
1/13/05,0.344718486
1/14/05,0.342423737
1/15/05,0.339249492
1/16/05,0.334263146
1/17/05,0.335822791
1/18/05,0.340416551
1/19/05,0.345099509
1/20/05,0.347129732
1/21/05,0.340052933
1/22/05,0.359027416
1/23/05,0.355026901
1/24/05,0.371053308
1/25/05,0.365654856
1/26/05,0.344575077
1/27/05,0.335548729
1/28/05,0.328417152
1/29/05,0.328634858
1/30/05,0.34456718
1/31/05,0.343754143
2/1/05,0.351232022
2/2/05,0.347190678
2/3/05,0.348785371
2/4/05,0.355412602
2/5/05,0.347299516
2/6/05,0.356607318
2/7/05,0.348770916
2/8/05,0.327648073
2/9/05,0.319752157
2/10/05,0.310524136
2/11/05,0.305229694
2/12/05,0.29429698
2/13/05,0.29384166
2/14/05,0.292825758
2/15/05,0.285522312
2/16/05,0.301742941
2/17/05,0.307970405
2/18/05,0.292700171
2/19/05,0.295762807
2/20/05,0.29706198
2/21/05,0.309508264
2/22/05,0.315837175
2/23/05,0.312109053
2/24/05,0.311345786
2/25/05,0.293621987
2/26/05,0.334065378
2/27/05,0.341817796
2/28/05,0.345154107
3/1/05,0.331761569
3/2/05,0.322770238
3/3/05,0.319911391
3/4/05,0.323370427
3/5/05,0.32703349
3/6/05,0.327709943
3/7/05,0.320237517
3/8/05,0.321842104
3/9/05,0.315630257
3/10/05,0.313355625
3/11/05,0.301050514
3/12/05,0.285446018
3/13/05,0.283954531
3/14/05,0.279652566
3/15/05,0.259737074
3/16/05,0.249721244
3/17/05,0.23919642
3/18/05,0.24187164
3/19/05,0.241650015
3/20/05,0.23670122
3/21/05,0.245949566
3/22/05,0.237309635
3/23/05,0.229955614
3/24/05,0.234540612
3/25/05,0.252372265
3/26/05,0.259478569
3/27/05,0.259334415
3/28/05,0.247897878
3/29/05,0.260468006
3/30/05,0.252166688
3/31/05,0.253409326
4/1/05,0.251130462
4/2/05,0.25346306
4/3/05,0.237914994
4/4/05,0.248085201
4/5/05,0.235564515
4/6/05,0.216576338
4/7/05,0.207124174
4/8/05,0.199877515
4/9/05,0.183695078
4/10/05,0.198990196
4/11/05,0.188850224
4/12/05,0.176334202
4/13/05,0.172502905
4/14/05,0.165734142
4/15/05,0.16355297
4/16/05,0.167926654
4/17/05,0.182629779
4/18/05,0.180455104
4/19/05,0.18978186
4/20/05,0.196422845
4/21/05,0.202072263
4/22/05,0.190474123
4/23/05,0.186319202
4/24/05,0.190279678
4/25/05,0.180057839
4/26/05,0.193072557
4/27/05,0.203916132
4/28/05,0.206087664
4/29/05,0.195417523
4/30/05,0.208849594
5/1/05,0.195950091
5/2/05,0.196767181
5/3/05,0.197639406
5/4/05,0.195839137
5/5/05,0.199017331
5/6/05,0.20820269
5/7/05,0.216137812
5/8/05,0.226975337
5/9/05,0.230749324
